記録の分類_タイプ産地or標本記録or文献記録or疑わしいかどうか,和名,学名,Latitude_assumed,Longitude_assumed,採集年,採集月,日付,都道府県_jp,島_jp,階級,未記載種の可能性が高い_幼体等で同定が困難な場合はno,Genus,Family,Order,個体数,成体の有無,採集者_jp,採集者_en,文献ID,掲載ページ,オリジナル,文献中の和名,文献中で有効とされる学名_文献紹介など、その文献中で有効とされる学名がわからない場合はハイフンを記入してください。,場所（原文ママ）,メモ,記入者,記入日付,出版年
7_疑わしい文献記録,ヤマシナフジヤスデ,Anaulaciulus yamashinai,28.2678467,129.3621196,-,-,-,鹿児島県,奄美大島,species,no,Anaulaciulus,Julidae,Julida,-,no,-,-,L00155,174,no,ヤマシナフジヤスデ,Fusiulus yamashinai,奄美大島,,Ryosuke Kuwahara,2023-IX-25,1954
7_疑わしい文献記録,ヤマシナフジヤスデ,Anaulaciulus yamashinai,28.2678467,129.3621196,-,-,-,鹿児島県,奄美大島,species,no,Anaulaciulus,Julidae,Julida,-,no,-,-,L00079,152,no,ヤマシナフジヤスデ,Fusiulus yamashinai,奄美大島,,Ryosuke Kuwahara,2024-IX-25,1959
7_疑わしい文献記録,ヤマシナフジヤスデ,Anaulaciulus yamashinai,28.2678467,129.3621196,-,-,-,鹿児島県,奄美大島,species,no,Anaulaciulus,Julidae,Julida,-,yes,-,-,L00147,224,yes,-,Fusiulus yamashinai,Amami Osima 奄美大島,桒原による調査では，奄美大島からは発見できなかった．沖縄島では多数発見されることから，奄美大島の記録は疑わしいと考える．,Ryosuke Kuwahara,2022-IX-28,1941
7_疑わしい文献記録,ホルストネジアシヤスデ,Helicorthomorpha holstii,28.2678467,129.3621196,-,-,-,鹿児島県,奄美大島,species,no,Helicorthomorpha,Paradoxosomatidae,Polydesmida,-,no,-,-,L00552,4,yes,ネジアシヤスデ,Helicothomorhpa[sic] trbobata[sic],奄美本島,大嶺哲雄氏による同定である．大嶺氏の同定や報告には一貫性がなく，確かな記録として扱うことができない．十分な同定理由の無い記録は疑わしい記録として扱う．,Ryosuke Kuwahara,2022-XII-17,1962
7_疑わしい文献記録,アマミアマビコヤスデ,Riukiaria scutata,28.455972,129.594553,-,-,-,鹿児島県,奄美大島,species,no,Riukiaria,Xystodesmidae,Polydesmida,-,no,-,-,L00552,5,yes,アマミアマビコヤスデ,Rhysodesmus scutata,奄美大島,大嶺哲雄氏による同定である．大嶺氏の同定や報告には一貫性がなく，確かな記録として扱うことができない．十分な同定理由の無い記録は疑わしい記録として扱う．,Ryosuke Kuwahara,2022-XII-19,1962
7_疑わしい文献記録,フタマタアマビコヤスデ,Riukiaria bifida,28.2678467,129.3621196,-,-,-,鹿児島県,奄美大島,species,no,Riukiaria,Xystodesmidae,Polydesmida,-,no,-,-,L00552,5,yes,フタマタアマビコヤスデ,Rhysodesmus bifidus,奄美大島,大嶺哲雄氏による同定である．大嶺氏の同定や報告には一貫性がなく，確かな記録として扱うことができない．十分な同定理由の無い記録は疑わしい記録として扱う．,Ryosuke Kuwahara,2022-XII-19,1962
7_疑わしい文献記録,ヤマシナフジヤスデ,Anaulaciulus yamashinai,28.2678467,129.3621196,-,-,-,鹿児島県,奄美大島,species,no,Anaulaciulus,Julidae,Julida,-,no,-,-,L00552,5,yes,ヤマシナフジヤスデ,Fusiulus yamashina[sic],奄美大島,大嶺哲雄氏による同定である．大嶺氏の同定や報告には一貫性がなく，確かな記録として扱うことができない．十分な同定理由の無い記録は疑わしい記録として扱う．,Ryosuke Kuwahara,2022-XII-19,1962
7_疑わしい文献記録,ヤマシナフジヤスデ,Anaulaciulus yamashinai,28.2678467,129.3621196,-,-,-,鹿児島県,奄美大島,species,no,Anaulaciulus,Julidae,Julida,-,no,-,-,L01113,160,yes,-,Fusiulus yamashinai,Amami-oshima,大嶺哲雄氏による同定である．大嶺氏の同定や報告には一貫性がなく，確かな記録として扱うことができない．十分な同定理由の無い記録は疑わしい記録として扱う．,Ryosuke Kuwahara,2022-XII-21,1977
7_疑わしい文献記録,ニホンフサヤスデ属の一種,Eudigraphis sp.,28.2678467,129.3621196,-,-,-,鹿児島県,奄美大島,genus,no,Eudigraphis,Polyxenidae,Polyxenida,-,no,-,-,L01113,160,yes,-,Monographis sp.,Amami-oshima,大嶺哲雄氏による同定である．大嶺氏の同定や報告には一貫性がなく，確かな記録として扱うことができない．十分な同定理由の無い記録は疑わしい記録として扱う．,Ryosuke Kuwahara,2022-XII-21,1977
7_疑わしい文献記録,ホルストネジアシヤスデ,Helicorthomorpha holstii,28.2678467,129.3621196,-,-,-,鹿児島県,奄美大島,species,no,Helicorthomorpha,Paradoxosomatidae,Polydesmida,-,no,-,-,L01113,160,yes,-,Helicorthomorpha holstii trilobata,Amami-oshima,大嶺哲雄氏による同定である．大嶺氏の同定や報告には一貫性がなく，確かな記録として扱うことができない．十分な同定理由の無い記録は疑わしい記録として扱う．,Ryosuke Kuwahara,2022-XII-21,1977
7_疑わしい文献記録,アオヤスデ属の一種,Rhysodesmus sp.,28.2678467,129.3621196,-,-,-,鹿児島県,奄美大島,genus,no,Rhysodesmus,Xystodesmidae,Polydesmida,-,no,-,-,L01113,160,yes,-,Rhyusedesmus[sic],Amami-oshima,大嶺哲雄氏による同定である．大嶺氏の同定や報告には一貫性がなく，確かな記録として扱うことができない．十分な同定理由の無い記録は疑わしい記録として扱う．,Ryosuke Kuwahara,2022-XII-21,1977
7_疑わしい文献記録,アマビコヤスデ,Riukiaria semicircularis,28.2678467,129.3621196,-,-,-,鹿児島県,奄美大島,species,no,Riukiaria,Xystodesmidae,Polydesmida,-,no,-,-,L01113,160,yes,-,Rhysolus semicirecularis[sic],Amami-oshima,大嶺哲雄氏による同定である．大嶺氏の同定や報告には一貫性がなく，確かな記録として扱うことができない．十分な同定理由の無い記録は疑わしい記録として扱う．,Ryosuke Kuwahara,2022-XII-21,1977
7_疑わしい文献記録,フタマタアマビコヤスデ,Riukiaria bifida,28.2678467,129.3621196,-,-,-,鹿児島県,奄美大島,species,no,Riukiaria,Xystodesmidae,Polydesmida,-,no,-,-,L01113,160,yes,-,Rhysolus bifidus,Amami-oshima,大嶺哲雄氏による同定である．大嶺氏の同定や報告には一貫性がなく，確かな記録として扱うことができない．十分な同定理由の無い記録は疑わしい記録として扱う．,Ryosuke Kuwahara,2022-XII-21,1977
7_疑わしい文献記録,ヤケヤスデ,Oxidus gracilis,28.35861032,129.4957134,-,-,-,鹿児島県,奄美大島,species,no,Oxidus,Paradoxosomatidae,Polydesmida,-,no,-,-,L01113,160,yes,-,Oxidus gracilis,Amami-oshima,大嶺哲雄氏による同定である．大嶺氏の同定や報告には一貫性がなく，確かな記録として扱うことができない．十分な同定理由の無い記録は疑わしい記録として扱う．,Ryosuke Kuwahara,2022-XII-21,1977
7_疑わしい文献記録,オウギヤスデ,Cryptocorypha japonica,28.2961795,129.3214235,1980,3,1980-III-25,鹿児島県,奄美大島,species,no,Cryptocorypha,Pyrgodesmidae,Polydesmida,1ex.,no,寺山 守,Mamoru Terayama,L01208,11,yes,-,Archandrodesmus japonicus,"Uken-V. (Mt. Yuwan-dake), Amami-Oshima",,Ryosuke Kuwahara,2022-XII-27,1981
7_疑わしい文献記録,オウギヤスデ,Cryptocorypha japonica,28.2678467,129.3621196,-,-,-,鹿児島県,奄美大島,species,no,Cryptocorypha,Pyrgodesmidae,Polydesmida,-,no,-,-,L00694,118,yes,オオギヤスデ,-,奄美,大嶺哲雄氏による同定である．大嶺氏の同定や報告には一貫性がなく，確かな記録として扱うことができない．十分な同定理由の無い記録は疑わしい記録として扱う．,Ryosuke Kuwahara,2022-XII-28,1982
